Experience in months,Call Attended in a day
12,30
24,35
60,45
72,50
84,50
24,37
36,40
96,45
36,42
14,81
22,82
60,75
70,84
80,94
21,75
33,72
94,98
32,77
16,40
15,35
14,38
18,36
19,26
20,28
21,33
19,32
18,28
32,40
31,35
26,38
27,36
30,45
32,28
37,33
38,32
38,28
22,47
28,44
28,61
24,59
23,49
60,32
120,37
120,39
70,83
110,84
105,77
80,42
75,37
70,40
90,38
95,28
100,30
105,35
60,75
70,84
80,94
94,98
70,83
110,84
105,77
62,75
72,84
71,94
73,98
73,83
75,84
76,77
69,73
68,89
75,91
81,99
82,84
81,89
83,81
86,67
86,84
88,90
73,99
89,85
91,86
96,78
94,76
92,95
99,99
98,81
15,75
17,84
20,94
22,98
18,83
28,84
26,77
16,75
18,84
29,101
38,81
39,67
42,84
45,90
44,99
31,78
35,76
34,95
46,99
34,81
42,48
45,47
44,51
46,53
34,54
